Format,OpenLAP Export
Venue,MIS Endurance 2023
Vehicle,FB24
Driver,OpenLap
Device
Comment
Date,05/10/2023
Time,15:16:51
Frequency,50





distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,gear,fuel_cons,energy_spent_fuel,energy_spent_mech
distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,gear,fuel_cons,energy_spent_fuel,energy_spent_mech
m,s,m/s,m,m/s,rad/s,m/s/s,m/s/s,m/s/s,ratio,Pa,N,deg,deg,deg,N,N,N,N,N,N,N.m,N.m,W,rpm,,kg,J,J


10.913794,0.480000,31.504200,0.000000,25.773458,0.406739,4.265996,10.481124,11.342491,0.951109,0.000000,0.000000,3.454671,0.987049,1.453208,-1118.883789,-612.741455,1761.101440,-3.885304,-2766.419922,-3885.303711,357.503601,47.485458,50354.277344,10126.100586,5.000000,0.001447,68296.210938,23903.671875
11.432289,0.500000,31.826965,0.000000,25.856964,0.389863,4.348416,10.080769,10.978772,1.000000,0.000000,0.000000,3.289994,0.939998,1.397699,-1126.155640,-616.723755,1846.869873,-3.892576,-2766.419922,-3892.575684,374.914551,49.805691,52965.726562,10155.289062,5.000000,0.001511,71323.968750,24963.386719
11.951347,0.520000,31.826965,0.000000,25.944782,0.390931,4.314489,10.142640,11.022182,1.000000,0.000000,0.000000,3.277694,0.936484,1.406277,-1133.808594,-620.914795,1841.501099,-3.900229,-2766.419922,-3900.228516,373.824707,49.660904,52991.609375,10189.781250,5.000000,0.001575,74352.195312,26023.267578
12.462578,0.540000,31.826965,0.000000,25.753136,0.434058,-4.658607,11.168350,14.943115,0.537422,1528027.500000,189.694412,3.697416,1.056405,1.548492,-1117.195923,-611.817139,989.393188,-3.883616,-2766.419922,-3883.615967,200.846802,26.681581,28480.173828,10482.941406,5.000000,0.001581,74636.031250,26122.611328
12.972996,0.560000,31.826965,0.000000,25.532581,0.481534,-14.556209,12.293743,19.265070,0.027004,3214086.500000,399.007416,4.161820,1.189091,1.704527,-1098.073853,-601.345154,49.713871,-3.864494,-2766.419922,-3864.493896,10.091915,1.340665,1431.038452,10802.855469,4.000000,0.001581,74636.031250,26122.611328
13.474165,0.580000,30.118620,0.000000,25.289415,0.527685,-13.781038,13.333642,19.250294,0.000000,2981415.000000,370.122803,4.649277,1.328365,1.848709,-1077.349854,-589.995972,0.000000,-3.843770,-2766.419922,-3843.769775,0.000000,0.000000,0.000000,10721.634766,4.000000,0.001581,74636.031250,26122.611328
13.974819,0.600000,28.314842,0.000000,25.044987,0.573762,-12.409678,14.368769,18.993267,0.000000,2641561.500000,327.932251,5.138023,1.468006,1.992230,-1056.536255,-578.597656,0.000000,-3.822956,-2766.419922,-3822.956299,0.000000,0.000000,0.000000,10618.006836,4.000000,0.001581,74636.031250,26122.611328
14.467884,0.620000,27.253698,0.000000,24.845745,0.604288,-11.209127,15.007999,18.779968,0.162369,1396521.125000,173.368790,5.493752,1.569643,2.080859,-1039.850220,-569.459839,315.841797,-3.806270,-2766.419922,-3806.270020,64.115891,7.890507,8629.234375,10533.537109,4.000000,0.001602,75636.921875,26472.923828
14.960546,0.640000,26.231884,0.000000,24.648897,0.633991,-10.017620,15.626266,18.568989,0.333336,103544.023438,12.854300,5.842436,1.669267,2.166582,-1023.382690,-560.441650,648.409912,-3.789803,-2766.419922,-3789.802734,131.627228,16.198879,17715.457031,10450.082031,4.000000,0.001625,76690.820312,26841.787109
15.443623,0.660000,26.917465,0.000000,24.401928,0.604791,-11.155558,14.767214,18.586519,0.193078,1222042.500000,151.708435,5.668478,1.619565,2.047474,-1003.080933,-549.323608,375.579254,-3.769501,-2766.419922,-3769.500977,76.242599,9.382896,10261.344727,10345.377930,4.000000,0.001627,76775.218750,26871.328125
